id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,,filename,link
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Turtle Check Men Navy Blue Shirt,,15970.jpg,http://assets.myntassets.com/v1/images/style/properties/7a5b82d1372a7a5c6de67ae7a314fd91_images.jpg
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Peter England Men Party Blue Jeans,,39386.jpg,http://assets.myntassets.com/v1/images/style/properties/4850873d0c417e6480a26059f83aac29_images.jpg
59263,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Titan Women Silver Watch,,59263.jpg,http://assets.myntassets.com/v1/images/style/properties/Titan-Women-Silver-Watch_b4ef04538840c0020e4829ecc042ead1_images.jpg
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011,Casual,Manchester United Men Solid Black Track Pants,,21379.jpg,http://assets.myntassets.com/v1/images/style/properties/8153dc35d9a5420eeb93922067137db6_images.jpg
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Puma Men Grey T-shirt,,53759.jpg,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-Grey-T-shirt_32668f8a61454d0cc028a808cf21b383_images.jpg
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Inkfruit Mens Chain Reaction T-shirt,,1855.jpg,http://assets.myntassets.com/v1/images/style/properties/9c1b19682ecf926c296f520d5d6e0972_images.jpg
30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012,Ethnic,Fabindia Men Striped Green Shirt,,30805.jpg,http://assets.myntassets.com/v1/images/style/properties/06e9d4231254fdb2c7fe967ad413ad7b_images.jpg
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,Jealous 21 Women Purple Shirt,,26960.jpg,http://assets.myntassets.com/v1/images/style/properties/45ddbc6a15140556214e15923244755b_images.jpg
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012,Casual,Puma Men Pack of 3 Socks,,29114.jpg,http://assets.myntassets.com/v1/images/style/properties/4ca8848ab441378a392d9d5bf0b0f3c7_images.jpg
30039,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Skagen Men Black Watch,,30039.jpg,http://assets.myntassets.com/v1/images/style/properties/Skagen-Men-Black-Watch_4982b2b1a76a85a85c9adc8b4b2d523a_images.jpg
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,,9204.jpg,http://assets.myntassets.com/v1/images/style/properties/051d64772f1b38ff476fbf0a807f365a_images.jpg
48123,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Fossil Women Black Huarache Weave Belt,,48123.jpg,http://assets.myntassets.com/v1/images/style/properties/8eee4563e14cf451b07f27761fd6535f_images.jpg
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Casual,Fila Men Cush Flex Black Slippers,,18653.jpg,http://assets.myntassets.com/v1/images/style/properties/53690e3f396f411e184b249672d6ebae_images.jpg
47957,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Murcia Women Blue Handbag,,47957.jpg,http://assets.myntassets.com/v1/images/style/properties/Murcia-Women-Blue-Handbag_13cfaff26872c298112a8e7da15c1e1d_images.jpg
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,2012,Casual,Ben 10 Boys Navy Blue Slippers,,46885.jpg,http://assets.myntassets.com/v1/images/style/properties/5cab6a2305d0e63142f721228aa6d293_images.jpg
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal,Reid & Taylor Men Check Purple Shirts,,12369.jpg,http://assets.myntassets.com/v1/images/style/properties/8bc9be576081baae77e8561b1132288f_images.jpg
29928,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Police Men Black Dial Watch PL12889JVSB,,29928.jpg,http://assets.myntassets.com/v1/images/style/properties/Police-Men-Black-Dial-Watch_5bd8cae4fc61052a6f00cfcd69c4a936_images.jpg
42419,Girls,Apparel,Topwear,Tops,White,Summer,2012,Casual,Gini and Jony Girls Knit White Top,,42419.jpg,http://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg
51832,Women,Apparel,Innerwear,Bra,Beige,Summer,2016,Casual,Bwitch Beige Full-Coverage Bra BW335,,51832.jpg,http://assets.myntassets.com/v1/image/style/properties/51832/Bwitch-Beige-Full-Coverage-Bra-BW335_1_d516fa94f14f0a5ecc90df7754390eb5.jpg
47359,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Baggit Women Brown Handbag,,47359.jpg,http://assets.myntassets.com/v1/images/style/properties/b14c7bf275c6edca3e849200fb7cbf6c_images.jpg
17429,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,,17429.jpg,http://assets.myntassets.com/assets/images/17429/2018/3/5/11520250143953-CASIO-G-Shock-Men-Black-Digital-Watch-G223-8211520250143786-1.jpg
12967,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,ADIDAS Men Spry M Black Sandals,,12967.jpg,http://assets.myntassets.com/v1/images/style/properties/c5a22e9ccf9b10e0a89ffbbf3e386584_images.jpg
6842,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,2011,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,,6842.jpg,http://assets.myntassets.com/v1/images/style/properties/92589dc7416b70f1a5c6a4c1f13d14e3_images.jpg
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,,13089.jpg,http://assets.myntassets.com/v1/images/style/properties/59912a0287751ff0475c8748dbcf4ea0_images.jpg
18461,Men,Personal Care,Fragrance,Deodorant,White,Spring,2017,Casual,David Beckham Signature Men Deos,,18461.jpg,http://assets.myntassets.com/v1/images/style/properties/3295fc148576955745c0b259d7968727_images.jpg
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011,Formal,Buckaroo Men Flores Black Formal Shoes,,9036.jpg,http://assets.myntassets.com/v1/images/style/properties/06edc2da9c6d103d299e5e8dafc5b6b9_images.jpg
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012,Casual,Pitaraa Women Bronze Beaded Bracelet,,48311.jpg,http://assets.myntassets.com/v1/images/style/properties/Pitaraa-Women-Golden-Brass-Bead-Bracelet_179aa06939858b54e8e6c80fe12d94d5_images.jpg
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Fila Men's Round Neck Navy Blue T-shirt,,7990.jpg,http://assets.myntassets.com/v1/images/style/properties/296a8c388d05d67346db88af27d3b763_images.jpg
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,,56019.jpg,http://assets.myntassets.com/assets/images/56019/2019/1/11/49d718c4-6d86-42d1-8d00-1ce4b7851b2c1547190759839-Colorbar-Soft-Touch-Show-Stopper-Copper-Lipstick-037-2715471-1.jpg
21977,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag,,21977.jpg,http://assets.myntassets.com/v1/images/style/properties/88d0bc675d72477729f38c30332e749a_images.jpg
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Formal,John Players Men Navy Blue Shirt,,37812.jpg,http://assets.myntassets.com/v1/images/style/properties/3af9f145845d8453a066322de35980af_images.jpg
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,,4729.jpg,http://assets.myntassets.com/v1/images/style/properties/0108969213975af06095ff84a0ec0c72_images.jpg
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Casual,John Players Men Brown Shirt,,56825.jpg,http://assets.myntassets.com/v1/images/style/properties/John-Players-Men-Brown-Shirt_7eec3b0568f65dc8f39a534376538551_images.jpg
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,2014,Casual,Gas Men Europa White Shoes,,39988.jpg,http://assets.myntassets.com/v1/images/style/properties/9c3d77147758ab10f12caf6184fe13ef_images.jpg
59051,Women,Footwear,Shoes,Flats,Black,Winter,2012,Casual,Carlton London Women Black & Gold Toned Flats,,59051.jpg,http://assets.myntassets.com/v1/images/style/properties/Carlton-London-Women-Black-Gladiator-Sandals_b8f695202ccc1889f65d57b4000a888f_images.jpg
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,Diva Women Embroided Green Kurta,,20099.jpg,http://assets.myntassets.com/v1/images/style/properties/08a0c29d2ea67ca9449aa54466f6b0a1_images.jpg
58183,Women,Accessories,Bags,Handbags,White,Summer,2012,Casual,Rocky S Women White Handbag,,58183.jpg,http://assets.myntassets.com/v1/images/style/properties/Rocky-S-Women-White-Handbag_1440a0abd2ddaf3199965e604831b164_images.jpg
29742,Women,Accessories,Bags,Handbags,Teal,Summer,2012,Casual,Kiara Women Teal Handbag,,29742.jpg,http://assets.myntassets.com/v1/images/style/properties/8b58c65e5634233b165c40cdbbcf58b8_images.jpg
51658,Women,Accessories,Watches,Watches,Copper,Winter,2016,Casual,Fossil Women Copper Chronograph Watch CH2589,,51658.jpg,http://assets.myntassets.com/v1/images/style/properties/072af0cd079f20296c72f3594a21f141_images.jpg
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,Jealous 21 Women's Pink T-shirt,,3954.jpg,http://assets.myntassets.com/v1/images/style/properties/b56e261f9206aa95e42c43f4e62d0e5a_images.jpg
18839,Men,Accessories,Belts,Belts,Black,Fall,2011,Formal,Peter England Men Formal Black Belt,,18839.jpg,http://assets.myntassets.com/v1/images/style/properties/Peter-England-Men-Formal-Black-Beltbc472bd919c505690ecbc1eed8af7fbf_images.jpg
2886,Women,Footwear,Shoes,Flats,Brown,Winter,2015,Casual,Catwalk Women Leather Brown Flats,,2886.jpg,http://assets.myntassets.com/v1/images/style/properties/94a9deea53125663d9bbe61cb38b84b4_images.jpg
23278,Men,Accessories,Watches,Watches,Off White,Winter,2016,Casual,Maxima Ssteele Men Off White Watch,,23278.jpg,http://assets.myntassets.com/v1/images/style/properties/93aa34922c6446706c003ba2255747f5_images.jpg
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012,Ethnic,W Women Printed Beige Kurta,,28690.jpg,http://assets.myntassets.com/v1/images/style/properties/df0a23e732654c5e7db3888e39393e79_images.jpg
8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,2011,Casual,Scullers Men Grey Waistcoat,,8580.jpg,http://assets.myntassets.com/v1/images/style/properties/0d2e2ceaaf6d09d447caad678b2edbe6_images.jpg
